0	0	72
0	0.25	122
0	0.5	228
0	0.75	355
0	1	408
0	1.25	454
0	1.5	469
0	1.75	439
0	2	483
0	2.25	449
0	2.5	480
0	2.75	454
0	3	461
0	3.25	451
0	3.5	477
0	3.75	457
0	4	459
0	4.25	491
0	4.5	490
0	4.75	539
0	5	556
		
0.25	0	35
0.25	0.25	88
0.25	0.5	199
0.25	0.75	293
0.25	1	415
0.25	1.25	506
0.25	1.5	562
0.25	1.75	574
0.25	2	626
0.25	2.25	591
0.25	2.5	594
0.25	2.75	605
0.25	3	573
0.25	3.25	607
0.25	3.5	610
0.25	3.75	588
0.25	4	608
0.25	4.25	599
0.25	4.5	625
0.25	4.75	608
0.25	5	673
		
0.5	0	19
0.5	0.25	57
0.5	0.5	110
0.5	0.75	235
0.5	1	369
0.5	1.25	492
0.5	1.5	582
0.5	1.75	656
0.5	2	712
0.5	2.25	703
0.5	2.5	729
0.5	2.75	726
0.5	3	742
0.5	3.25	743
0.5	3.5	705
0.5	3.75	733
0.5	4	732
0.5	4.25	732
0.5	4.5	728
0.5	4.75	748
0.5	5	767
		
0.75	0	7
0.75	0.25	30
0.75	0.5	53
0.75	0.75	160
0.75	1	261
0.75	1.25	426
0.75	1.5	557
0.75	1.75	667
0.75	2	772
0.75	2.25	795
0.75	2.5	827
0.75	2.75	830
0.75	3	853
0.75	3.25	814
0.75	3.5	830
0.75	3.75	812
0.75	4	830
0.75	4.25	824
0.75	4.5	820
0.75	4.75	840
0.75	5	860
		
1	0	2
1	0.25	8
1	0.5	31
1	0.75	66
1	1	175
1	1.25	276
1	1.5	450
1	1.75	610
1	2	745
1	2.25	819
1	2.5	873
1	2.75	888
1	3	880
1	3.25	889
1	3.5	896
1	3.75	901
1	4	888
1	4.25	900
1	4.5	905
1	4.75	905
1	5	891
		
1.25	0	0
1.25	0.25	1
1.25	0.5	6
1.25	0.75	19
1.25	1	69
1.25	1.25	137
1.25	1.5	286
1.25	1.75	440
1.25	2	612
1.25	2.25	744
1.25	2.5	847
1.25	2.75	910
1.25	3	921
1.25	3.25	938
1.25	3.5	935
1.25	3.75	945
1.25	4	935
1.25	4.25	947
1.25	4.5	953
1.25	4.75	954
1.25	5	953
		
1.5	0	0
1.5	0.25	0
1.5	0.5	1
1.5	0.75	11
1.5	1	19
1.5	1.25	63
1.5	1.5	142
