		Minimum = 0.217122002			
K3 Angle	K4 Angl4	Single_cod	Inj_eff		
1.5	2.75	0.250845369	849	0.033723367	151
1.5	3	0.217122002	924	0	76
1.5	3.25	0.240197235	942	0.023075234	58
1.5	3.5	0.280970467	952	0.063848465	48
1.5	3.75	0.333440155	962	0.116318153	38
1.5	4	0.395119695	972	0.177997693	28
1.5	4.25	0.463829091	976	0.246707089	24
1.5	4.5	0.535526056	974	0.318404055	26
1.5	4.75	0.609863887	971	0.392741886	29
1.5	5	0.684729383	978	0.467607382	22
					
1.75	0	1.794533718	0	1.577411716	1000
1.75	0.25	1.639546214	0	1.422424212	1000
1.75	0.5	1.484063643	0	1.266941641	1000
1.75	0.75	1.33267646	2	1.115554459	998
1.75	1	1.187719094	4	0.970597092	996
1.75	1.25	1.049766062	25	0.832644061	975
1.75	1.5	0.920106272	69	0.70298427	931
1.75	1.75	0.798175017	121	0.581053016	879
1.75	2	0.682943801	233	0.4658218	767
1.75	2.25	0.576030221	409	0.358908219	591
1.75	2.5	0.47805719	540	0.260935188	460
1.75	2.75	0.39467278	691	0.177550778	309
1.75	3	0.322752133	805	0.105630131	195
1.75	3.25	0.263765254	917	0.046643252	83
1.75	3.5	0.240445394	952	0.023323392	48
1.75	3.75	0.249831575	971	0.032709573	29
1.75	4	0.286198417	980	0.069076415	20
1.75	4.25	0.338481767	984	0.121359765	16
1.75	4.5	0.404115132	986	0.18699313	14
1.75	4.75	0.475324427	985	0.258202425	15
1.75	5	0.550698743	989	0.333576741	11
					
2	0	2.100931844	0	1.883809842	1000
2	0.25	1.958822905	0	1.741700904	1000
2	0.5	1.805415036	0	1.588293035	1000
2	0.75	1.647958041	0	1.43083604	1000
2	1	1.491220547	1	1.274098545	999
2	1.25	1.339491062	7	1.12236906	993
2	1.5	1.194462529	8	0.977340527	992
2	1.75	1.058199033	32	0.841077031	968
2	2	0.928774621	94	0.71165262	906
2	2.25	0.806638606	205	0.589516604	795
2	2.5	0.693595669	359	0.476473667	641
2	2.75	0.587497891	483	0.370375889	517
2	3	0.497713781	654	0.280591779	346
2	3.25	0.416458916	787	0.199336914	213
2	3.5	0.347372807	882	0.130250805	118
2	3.75	0.293174274	927	0.076052272	73
2	4	0.26653064	957	0.049408638	43
2	4.25	0.265936834	980	0.048814833	20
2	4.5	0.293588861	986	0.076466859	14
2	4.75	0.345032714	997	0.127910712	3
2	5	0.412733365	994	0.195611363	6
					
2.25	0	2.35151924	0	2.134397238	1000
2.25	0.25	2.244159323	0	2.027037321	1000
2.25	0.5	2.117814193	0	1.900692191	1000
2.25	0.75	1.973572075	0	1.756450073	1000
2.25	1	1.819269011	0	1.602147009	1000
2.25	1.25	1.660944701	0	1.443822699	1000
2.25	1.5	1.504604216	5	1.287482214	995
2.25	1.75	1.353130652	12	1.13600865	988
2.25	2	1.209813979	34	0.992691977	966
2.25	2.25	1.0744109	94	0.857288898	906
2.25	2.5	0.947612656	148	0.730490655	852
2.25	2.75	0.829726197	292	0.612604195	708
2.25	3	0.71925533	448	0.502133328	552
2.25	3.25	0.620951641	598	0.403829639	402
2.25	3.5	0.532454992	726	0.31533299	274
2.25	3.75	0.453428525	845	0.236306524	155
2.25	4	0.384493853	919	0.167371851	81
2.25	4.25	0.333277408	953	0.116155407	47
2.25	4.5	0.301454447	976	0.084332445	24
2.25	4.75	0.284367985	986	0.067245983	14
2.25	5	0.299820162	995	0.08269816	5
					
2.5	0	2.653927993	0	2.436805992	1000
2.5	0.25	2.472135217	0	2.255013215	1000
2.5	0.5	2.370155358	0	2.153033356	1000
2.5	0.75	2.264061244	0	2.046939243	1000
2.5	1	2.140096305	0	1.922974303	1000
2.5	1.25	1.994735196	0	1.777613194	1000
2.5	1.5	1.840022969	0	1.622900968	1000
2.5	1.75	1.682069243	3	1.464947241	997
2.5	2	1.525875231	6	1.30875323	994
2.5	2.25	1.376996547	24	1.159874545	976
2.5	2.5	1.236081915	64	1.018959913	936
2.5	2.75	1.105213526	118	0.888091524	882
2.5	3	0.982601051	256	0.765479049	744
2.5	3.25	0.868552581	357	0.651430579	643
2.5	3.5	0.764302375	538	0.547180373	462
2.5	3.75	0.669425622	691	0.45230362	309
2.5	4	0.583910098	807	0.366788096	193
2.5	4.25	0.506292889	882	0.289170887	118
2.5	4.5	0.438967772	935	0.22184577	65
2.5	4.75	0.384781452	972	0.167659451	28
2.5	5	0.347506202	984	0.1303842	16
					
2.75	0	3.293627671	0	3.076505669	1000
2.75	0.25	2.919865097	0	2.702743096	1000
2.75	0.5	2.621664202	0	2.4045422	1000
2.75	0.75	2.481961681	0	2.264839679	1000
2.75	1	2.395846491	0	2.17872449	1000
2.75	1.25	2.294021964	0	2.076899962	1000
2.75	1.5	2.169618997	0	1.952496995	1000
2.75	1.75	2.024837451	2	1.80771545	998
2.75	2	1.870627864	0	1.653505862	1000
2.75	2.25	1.71386532	4	1.496743319	996
2.75	2.5	1.560368683	13	1.343246681	987
2.75	2.75	1.415538622	42	1.19841662	958
2.75	3	1.279400078	124	1.062278076	876
2.75	3.25	1.153342256	173	0.936220254	827
2.75	3.5	1.034489192	339	0.817367191	661
2.75	3.75	0.926538997	483	0.709416995	517
2.75	4	0.824389611	639	0.607267609	361
2.75	4.25	0.73490013	745	0.517778128	255
2.75	4.5	0.652965808	881	0.435843806	119
2.75	4.75	0.579573827	912	0.362451825	88
2.75	5	0.514376307	958	0.297254306	42
					
3	0	3.68993865	0	3.472816649	1000
3	0.25	3.377546242	0	3.16042424	1000
3	0.5	3.24552894	0	3.028406938	1000
3	0.75	2.850678912	0	2.63355691	1000
3	1	2.60850388	0	2.391381879	1000
3	1.25	2.504039858	0	2.286917856	1000
3	1.5	2.429333385	0	2.212211383	1000
3	1.75	2.335061863	0	2.117939861	1000
3	2	2.210021545	1	1.992899543	999
3	2.25	2.067154748	3	1.850032747	997
3	2.5	1.915903428	1	1.698781426	999
3	2.75	1.761515689	13	1.544393687	987
3	3	1.613130357	33	1.396008355	967
3	3.25	1.472907305	83	1.255785303	917
3	3.5	1.343066051	149	1.125944049	851
3	3.75	1.219928621	258	1.002806619	742
3	4	1.107470114	399	0.890348113	601
3	4.25	1.002434958	551	0.785312956	449
3	4.5	0.905215805	692	0.688093804	308
3	4.75	0.820538922	825	0.603416921	175
3	5	0.74383125	880	0.526709249	120
					
3.25	0	9814813.612	0	9814813.395	1000
3.25	0.25	4.606013941	0	4.38889194	1000
3.25	0.5	3.488362356	0	3.271240354	1000
3.25	0.75	3.418182233	0	3.201060231	1000
3.25	1	3.184235822	0	2.96711382	1000
3.25	1.25	2.805357407	0	2.588235405	1000
3.25	1.5	2.616782282	0	2.39966028	1000
3.25	1.75	2.542919492	0	2.32579749	1000
3.25	2	2.474213023	0	2.257091022	1000
3.25	2.25	2.386834563	0	2.169712562	1000
3.25	2.5	2.265060176	0	2.047938174	1000
3.25	2.75	2.127127621	0	1.910005619	1000
3.25	3	1.97888276	5	1.761760758	995
3.25	3.25	1.830743696	24	1.613621695	976
3.25	3.5	1.688151138	65	1.471029136	935
3.25	3.75	1.554529738	109	1.337407737	891
3.25	4	1.428941766	229	1.211819764	771
3.25	4.25	1.310664542	367	1.093542541	633
3.25	4.5	1.203981441	498	0.986859439	502
3.25	4.75	1.103286072	675	0.88616407	325
3.25	5	1.011999901	766	0.794877899	234
					
3.5	0	236.8089891	0	236.5918671	1000
3.5	0.25	4985025153	0	4985025152	1000
3.5	0.5	876416.327	0	876416.1099	1000
3.5	0.75	3.98775803	0	3.770636029	1000
3.5	1	3.405447318	0	3.188325316	1000
